op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For rent,Vecmīlgrāvis,Rīnūžu 11,2,53,5,5,103,Brick-Panel,All amenities,270,57.0378821,24.08967796
For sale,Āgenskalns,Kalnciema 106a,2,68,2,4,Jaun.,Masonry,All amenities,105000,56.93662655,24.04333565
For sale,Zasulauks,Kalnciema 106a,2,68,2,4,Jaun.,Masonry,All amenities,105000,56.93662655,24.04333565
For rent,Pļavnieki,Jasmuižas 15,1,32,2,9,602,Panel,All amenities,220,56.93685365,24.21317711
For sale,Pļavnieki,Salnas 22,1,40,4,5,M. ģim.,Panel,All amenities,33000,56.94177625,24.2254638
For sale,Mežaparks,Viestura pr. 47,1,27,7,9,Specpr.,Brick,All amenities,27500,NaN,NaN
For sale,centrs,Bruņinieku 147,5,83,1,2,P. kara,Wood,Partial amenities,27890,56.9599542,24.1248268
For sale,Āgenskalns,Kuldīgas 10,1,17.5,1,2,P. kara,Wood,Partial amenities,9890,56.9517628,24.06734871
For sale,Jugla,Kvēles 27,2,45,1,5,LT proj.,Panel,All amenities,41000,56.9820393,24.24602069
For rent,centrs,Pērnavas 10,1,32,5,5,Hrušč.,Brick,All amenities,255,56.9647239,24.1477109
For rent,Purvciems,Sesku 26,1,42,3,5,M. ģim.,Brick-Panel,All amenities,270,56.9449076,24.17802944
For sale,Imanta,Kurzemes pr. 102,2,48,1,5,LT proj.,Panel,All amenities,44000,NaN,NaN
For sale,Čiekurkalns,Čiekurkalna 2. l. 28,1,24,2,2,P. kara,Wood,Partial amenities,6790,NaN,NaN
For sale,Ziepniekkalns,Valdeķu 53,3,75,9,10,119,Panel,All amenities,72000,56.90154795,24.09246741
For rent,Ziepniekkalns,Ozolciema 18,1,50,3,9,119,Panel,All amenities,29,56.89859735,24.0876708
For rent,Ziepniekkalns,Bērzupes 23,1,31,2,5,LT proj.,Panel-Brick,All amenities,250,56.9151751,24.09305733
For sale,Pļavnieki,Lubānas 129,1,41,1,9,M. ģim.,Panel,All amenities,34000,56.93257265,24.2080293
For sale,Āgenskalns,Grīna bulv. 13,2,47,3,5,Specpr.,Brick,All amenities,45500,NaN,NaN
For sale,centrs,Pētersalas 2,5,144,1,5,Specpr.,Masonry,All amenities,74800,56.9678993,24.10503793
For rent,Mežaparks,Viestura pr. 95,2,42,8,11,Jaun.,Brick,All amenities,450,NaN,NaN
For sale,centrs,Ādmiņu 6,2,36,2,2,P. kara,Masonry,Partial amenities,25000,56.949362,24.14052317
For rent,Jugla,Veldres 32,1,33,12,12,Specpr.,Brick-Panel,All amenities,230,56.9764669,24.24432073
For rent,Sarkandaugava,Tilta 5,7,76,2,4,P. kara,Masonry,All amenities,295,56.9950728,24.1273961
Renting,Āgenskalns,,4,,,,,,All amenities,,46.3144754,11.0480288
Renting,Dzegužkalns,,2,,,,,,All amenities,,46.3144754,11.0480288
For rent,Maskavas priekšpilsēta,Daugavpils 76,1,25,5,6,P. kara,Brick,All amenities,250,56.9464309,24.14139621
For rent,Āgenskalns,Kristapa 8,1,18,1,4,M. ģim.,Brick,All amenities,220,56.9428655,24.06096321
For sale,Daugavgrīva,Slimnīcas 6,2,53,2,5,103,Brick-Panel,All amenities,31900,57.0408667,24.03274137
For rent,centrs,Barona 76,3,67,2,6,Renov.,Masonry,All amenities,750,56.95643795,24.13257298
For rent,centrs,Tallinas 65,3,83,5,5,Renov.,Masonry,All amenities,900,56.95878525,24.14458912
For rent,Ķengarags,Prūšu 3,1,30,5,5,LT proj.,Panel,All amenities,220,56.916944,24.18423005
