op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For rent,Purvciems,Burtnieku 35,1,18,2,4,Specpr.,Brick,All amenities,200,56.96760975,24.1813539
For rent,centrs,Brīvības iela 139,3,200,2,5,Renov.,Brick,All amenities,2500,56.9650488,24.14121858
For sale,centrs,Vīlandes 5,5,225,5,6,P. kara,Masonry,All amenities,258000,56.9599631,24.1017027
For rent,centrs,Marijas 16,2,32,4,6,Renov.,Brick,All amenities,410,56.9505796,24.1255938
For rent,Dzegužkalns,Jaunsaules 5,1,18,2,5,LT proj.,Panel,All amenities,165,56.9552306,24.04957765
For rent,centrs,Rūpniecības 5,2,120,5,5,Renov.,Masonry,All amenities,820,56.9596778,24.1027358
For rent,Mežciems,Mežciema 44,2,49,5,5,LT proj.,Panel,All amenities,380,56.97328935,24.23799041
For sale,centrs,Tērbatas 59/61,4,97,6,6,Renov.,Masonry,All amenities,145350,56.9578128,24.1300556
For sale,Bolderāja,Gobas 29,2,60,4,5,Specpr.,Brick,All amenities,40000,57.03086935,24.053887
For sale,Purvciems,Stirnu 36,2,45,5,5,LT proj.,Panel,All amenities,43500,56.9609027,24.19103095
For sale,centrs,Blaumaņa 12,2,58.3,6,6,Renov.,Masonry,All amenities,169070,56.9548306,24.1221141
For rent,centrs,Klijānu 6,3,79,7,9,Jaun.,Masonry,All amenities,850,56.9726557,24.14931172
For rent,Mežciems,Kaivas 74b,3,70,1,5,Jaun.,Masonry,All amenities,470,56.9541725,24.2443253
For rent,Mežciems,Kaivas 50-94b,1,39,1,5,Jaun.,Masonry,All amenities,310,NaN,NaN
For rent,Zolitūde,Zolitūdes 47,1,45,9,8,119,Panel,All amenities,260,56.948018,23.99947826
For rent,centrs,Jeruzalemes 5,2,67,2,6,Jaun.,Panel-Brick,All amenities,60,56.9579333,24.113967
For sale,Imanta,Dubultu 4,3,55,5,5,LT proj.,Panel,All amenities,53500,56.9552879,24.00523722
For rent,centrs,Čaka 117/1,3,75,6,6,Renov.,Masonry,All amenities,700,56.9626863,24.1480584
Buying,Purvciems,,7,,,,,,,,46.3144754,11.0480288
Buying,Āgenskalns,,7,,,,,,,,46.3144754,11.0480288
For sale,Daugavgrīva,Birzes 46,3,71.7,2,5,103,Brick,All amenities,48000,57.03601395,24.02490726
Buying,Teika,,,,,,,,,,46.3144754,11.0480288
Buying,Mežciems,,,,,,,,,,46.3144754,11.0480288
For rent,Vecrīga,Peitavas 5,3,78,5,5,Renov.,Brick,All amenities,700,56.9462191,24.1099153
For sale,centrs,Skanstes 29a,5,167,21,24,Jaun.,Panel-Brick,All amenities,299000,56.9722229,24.1239787
For sale,centrs,Maskavas 57,2,68,3,3,P. kara,Masonry,All amenities,64500,56.93970755,24.13245454
For rent,Teika,Bajāru 7,3,58,2,2,Jaun.,Brick,All amenities,630,56.97216595,24.18026665
For rent,Zolitūde,Gramzdas 82,1,55,1,4,Jaun.,Brick-Panel,All amenities,350,56.9408962,24.00410684
For sale,Ziepniekkalns,Valdeķu 50/1,3,64,8,9,602,Panel,All amenities,72300,56.9150015,24.0967059
For rent,centrs,Gogoļa 7,2,60,4,4,P. kara,Masonry,All amenities,390,56.9444276,24.12186284
Buying,Zolitūde,,,,,,,,,,46.3144754,11.0480288
Buying,Teika,,,,,,,,,,46.3144754,11.0480288
Buying,Purvciems,,,,,,,,,,46.3144754,11.0480288
Buying,Mežciems,,,,,,,,,,46.3144754,11.0480288
Buying,Iļģuciems,,,,,,,,,,46.3144754,11.0480288
Buying,Āgenskalns,,,,,,,,,,46.3144754,11.0480288
For rent,centrs,Pulkv. Brieža 7,3,100,2,6,Renov.,Brick-Panel,All amenities,1000,NaN,NaN
For sale,Dārzciems,Sesku 7/1,1,42,2,5,M. ģim.,Panel,All amenities,33000,56.944418,24.1719745
For rent,Daugavgrīva,Flotes 8,1,25,2,2,Renov.,Brick,All amenities,180,57.0426738,24.0360848
For sale,Vecmīlgrāvis,Rinkas 3,3,67,1,5,LT proj.,Panel,All amenities,58300,57.03222745,24.10137009
For rent,Jugla,Veldres 7,2,45,3,5,Hrušč.,Panel,All amenities,300,56.9759193,24.24536975
For rent,centrs,Sadovņikova 25,2,67,3,5,Jaun.,Panel-Brick,All amenities,35,56.9408555,24.1364923
For sale,Ķengarags,Salaspils 18/4,2,45,4,5,LT proj.,Panel,All amenities,49000,56.9267343,24.1753303
For sale,centrs,Blaumaņa 36,7,190,4,5,P. kara,Brick,All amenities,350000,56.95172905,24.12581489
For rent,centrs,Tomsona 30,2,81,2,9,Jaun.,Brick-Panel,All amenities,650,56.9665863,24.1282258
For rent,Imanta,Kurzemes pr. 122,1,37,9,9,602,Panel,All amenities,250,NaN,NaN
For rent,centrs,Barona 24/26,1,20,2,6,Jaun.,Brick-Panel,All amenities,370,56.95161295,24.12245715
For rent,Pļavnieki,Ulbrokas 12,2,61,6,8,Jaun.,Brick,All amenities,390,56.94122905,24.21742317
For rent,centrs,Barona 21,1,40,4,5,P. kara,Masonry,All amenities,25,56.9525712,24.1236797
For rent,centrs,Antonijas 22,2,88,5,6,Renov.,Masonry,All amenities,550,56.9601368,24.1142701
For sale,Ziepniekkalns,Līvciema 9/1,3,76,5,7,Specpr.,Panel,All amenities,71915,56.9019124,24.1024598
For rent,Iļģuciems,Lidoņu 3a,2,50,3,5,LT proj.,Panel,All amenities,300,56.97140105,24.07070108
For rent,Grīziņkalns,Alauksta 21,1,30,2,5,P. kara,Brick,All amenities,220,56.9598967,24.1516983
For sale,centrs,Šarlotes 7,2,33,3,6,Jaun.,Masonry,Partial amenities,80000,56.9645861,24.1286325
Buying,Purvciems,,,,,,,,,,46.3144754,11.0480288
For sale,Jugla,Bākūžu 13a,4,96.1,1,3,Renov.,Masonry,All amenities,150000,56.9876991,24.2350567
For sale,Purvciems,Ūnijas 76a,3,62,5,5,LT proj.,Panel,Partial amenities,68000,56.96065105,24.18333277
For sale,Teika,Brīvības gatve 229,2,42,5,5,Hrušč.,Brick,All amenities,50000,56.9761938,24.1755337
For rent,centrs,Pērnavas 7,3,75.5,6,6,Renov.,Masonry,All amenities,550,56.96431685,24.15047952
Buying,Purvciems,,,,77,7,,,,,46.3144754,11.0480288
For sale,centrs,Ģertrūdes 69/71,3,83,3,6,P. kara,Masonry,All amenities,112000,56.9582325,24.1215352
For sale,centrs,11. novembra krastm. 121,2,51,3,6,Jaun.,Masonry,All amenities,110000,NaN,NaN
For sale,Ziepniekkalns,Valdeķu 54/4,1,32,7,9,602,Panel,All amenities,33000,56.9150015,24.0967059
For sale,Purvciems,Ilūkstes 101/1,1,37,5,5,103,Brick-Panel,All amenities,28990,56.9405867,24.1951866
For sale,Dārzciems,Nīcgales 46,2,51,9,2,602,Panel,All amenities,49000,56.945342,24.17094695
For rent,centrs,Pērnavas 39,1,25,5,6,P. kara,Brick,All amenities,200,56.9555075,24.15349894
Buying,centrs,,3,,,,,,,,46.3144754,11.0480288
For rent,centrs,Ģertrūdes 99k2,2,30,3,5,P. kara,Masonry,Partial amenities,350,56.9582325,24.1215352
For sale,centrs,Asara 12/5,4,107,1,5,Renov.,Wood,All amenities,200000,56.956506,24.1531491
For sale,Ķengarags,Maskavas 268/2,2,47,5,5,LT proj.,Panel,All amenities,49500,56.94476985,24.11334617
For rent,centrs,Ģertrūdes 22,2,60,5,5,Renov.,Brick,All amenities,550,56.9560762,24.12457049
For rent,centrs,Čaka 156,1,33,5,6,P. kara,Masonry,All amenities,180,56.96369115,24.15182377
Buying,Vecrīga,,7,,,,,,,,46.3144754,11.0480288
For sale,centrs,Valdemāra 37,3,78,4,6,Renov.,Masonry,All amenities,159732,56.958482,24.116859
For rent,centrs,Krāsotāju 2,4,75,1,2,P. kara,Wood,All amenities,450,56.953572,24.14258218
For sale,centrs,Duntes 28,2,52,9,16,Jaun.,Masonry,All amenities,80000,56.9880909,24.13389076
For sale,Iļģuciems,Riekstu 11,4,96,4,5,Jaun.,Masonry,All amenities,129500,56.96791915,24.06364017
For sale,Ķengarags,Maltas 21,2,49,1,5,LT proj.,Panel,All amenities,39500,56.909529,24.18623806
For sale,centrs,Brīvības iela 162k2,3,68,3,7,Jaun.,Panel,All amenities,77950,56.9670038,24.1471279
For rent,Jugla,Brīvības gatve 391,2,44,4,5,Hrušč.,Brick,All amenities,300,56.98820185,24.22564849
For rent,centrs,Brīvības 162/2,2,43,8,8,Specpr.,Brick,All amenities,350,56.9695565,24.1547355
For rent,Pļavnieki,Pavasara g. 2,1,35,6,9,602,Panel,All amenities,250,56.9346184,24.1980807
For sale,Mežciems,Biķernieku 218,2,53,4,5,103,Brick,All amenities,53500,56.95765645,24.29116442
For rent,Jugla,Brīvības gatve 388,1,34,4,12,M. ģim.,Brick-Panel,All amenities,200,56.9868158,24.2220345
For sale,centrs,Indrānu 3,3,76,1,4,P. kara,Masonry,All amenities,102000,56.9679518,24.1473582
For rent,Vecrīga,Peitavas 5,3,110,3,5,Renov.,Masonry,All amenities,600,56.9462191,24.1099153
For sale,Mežciems,Eizenšteina 79,3,63,4,9,602,Panel,All amenities,65000,56.9613221,24.23424108
For sale,centrs,Pētersalas 2,3,79,2,5,P. kara,Brick,All amenities,110600,56.9678993,24.10503793
For sale,Imanta,Slokas 217,3,54,5,5,LT proj.,Panel,All amenities,39000,56.962357,24.00222005
For rent,Vecrīga,Vāgnera 12,2,35,3,4,Renov.,Masonry,All amenities,400,56.94881585,24.11147386
Buying,,,7,,,,,,,,46.3144754,11.0480288
For rent,centrs,Pulkv. Brieža 7,2,81,5,5,Renov.,Masonry,All amenities,650,NaN,NaN
For rent,centrs,Lāčplēša 119,1,16,1,5,Specpr.,Brick,All amenities,17,56.944767,24.13332945
For sale,Iļģuciems,Palangas 1,2,51,5,5,LT proj.,Brick-Panel,All amenities,42000,56.9694761,24.0541638
For sale,Pļavnieki,Keldiša 28,2,51,8,9,602,Panel,All amenities,43300,56.9382367,24.2100297
For sale,centrs,Tērbatas 16/18,4,122,5,5,P. kara,Brick,All amenities,225000,56.9539113,24.1220605
For sale,centrs,Ģertrūdes 113,3,71,6,6,P. kara,Masonry,All amenities,92800,56.9488564,24.13849703
For sale,centrs,Ģertrūdes 113,2,42,6,6,P. kara,Masonry,All amenities,57800,56.9488564,24.13849703
For rent,Āgenskalns,Baložu 5,4,112,3,3,Priv. m.,Brick,All amenities,1200,56.94372935,24.0751604
For rent,Ķīpsala,Ķīpsalas 4,2,52,3,4,Jaun.,Masonry,All amenities,650,56.951881,24.08376627
Buying,Purvciems,,7,,,,,,,,46.3144754,11.0480288
For sale,Ķengarags,Višķu 11,1,33,4,5,LT proj.,Panel,All amenities,34000,56.89938885,24.21369425
For sale,Ķengarags,Salaspils 12 k5,1,33,3,5,LT proj.,Panel,All amenities,34000,56.9267343,24.1753303
For sale,Sarkandaugava,Sarkandaugavas 31,3,74.2,9,9,Specpr.,Brick-Panel,All amenities,79000,57.0024532,24.12289436
For sale,Ķengarags,Maltas 15,3,61,4,5,LT proj.,Panel,All amenities,58000,56.9106275,24.18366947
For rent,Ziepniekkalns,Ozolciema 38,1,44,2,9,119,Panel,All amenities,350,56.9012723,24.0976674
For sale,Imanta,Kleistu 8,3,54,4,5,LT proj.,Panel,All amenities,68000,56.96056895,24.0228425
For sale,Purvciems,Stirnu 37,1,36,5,9,602,Panel,All amenities,35000,56.961607,24.1871335
For rent,centrs,Lāčplēša 98,1,20,3,5,Renov.,Brick-Panel,All amenities,235,56.94440235,24.13236302
For rent,Pļavnieki,Salnas 21,2,43,1,9,Jaun.,Brick-Panel,All amenities,360,56.942327,24.23009288
For rent,centrs,Matīsa 109,3,88,5,5,Renov.,Brick,All amenities,400,56.9581178,24.1311146
For rent,Dzegužkalns,Ķiršu 4,2,25,1,2,P. kara,Masonry,All amenities,250,56.95531125,24.0577105
For rent,Ziepniekkalns,Sērenes 4,3,75,2,16,104,Panel,All amenities,350,56.90479835,24.08401527
For sale,Pļavnieki,Salnas 24,1,39,2,5,M. ģim.,Panel,All amenities,31900,56.94167865,24.22621375
For rent,centrs,Zaubes 9,3,95,3,6,Jaun.,Masonry,All amenities,1050,56.9634565,24.12191488
Renting,Imanta,,2,,,,Jaun.,,All amenities,500,46.3144754,11.0480288
Renting,Jugla,,2,,,,,,,,46.3144754,11.0480288
For rent,Purvciems,Vairoga 32,3,52,3,3,Jaun.,Masonry,All amenities,520,56.9690716,24.17164989
For sale,Ķengarags,Maskavas 268,2,48,3,5,LT proj.,Panel,All amenities,43500,56.8597884,24.3083417
For sale,Vecmīlgrāvis,Staru 21,3,68,4,5,LT proj.,Panel,All amenities,43900,57.0336091,24.09921603
For sale,Pļavnieki,Zemes 9,1,38.5,2,9,M. ģim.,Panel,All amenities,31000,56.9422955,24.19988596
For rent,Vecmīlgrāvis,Kāvu 4,1,30,5,5,LT proj.,Panel,All amenities,200,57.0331188,24.10045933
For sale,Purvciems,Ūnijas 64,3,61,4,5,LT proj.,Panel,All amenities,67500,56.96241135,24.17969262
For sale,Imanta,Kurzemes pr. 86,3,68,1,9,602,Panel,All amenities,62000,NaN,NaN
Buying,Purvciems,Dzelzavas 76,2,50,5,9,602,Panel,All amenities,,56.9550112,24.1985621
For sale,Sarkandaugava,Patversmes 30/2,2,72,3,4,Staļina,Brick,All amenities,68500,56.990941,24.1329725
For rent,centrs,Brīvības 72,2,85,3,6,P. kara,Masonry,All amenities,500,56.957785,24.1241849
For sale,Pļavnieki,Jasmuižas 10,2,50,4,9,602,Panel,All amenities,60000,56.9362783,24.2110749
For rent,centrs,Strēlnieku 7,2,57,5,7,Jaun.,Panel-Brick,All amenities,750,56.9596279,24.1079909
For sale,Bolderāja,Stagaru 4,2,51,3,5,103,Panel,All amenities,34000,57.02965155,24.03597519
For rent,centrs,Pulkv. Brieža 3,2,49,3,5,P. kara,Masonry,All amenities,400,NaN,NaN
For rent,centrs,Skolas 36,2,52,3,4,P. kara,Brick,All amenities,700,48.2969502,-100.7081938
For sale,Āgenskalns,Kuldīgas 32,2,50,2,4,Renov.,Masonry,All amenities,64480,56.9474705,24.0604076
For rent,Iļģuciems,Kurzemes pr. 58,2,50,4,5,LT proj.,Panel,All amenities,350,56.9567829,24.0344957
For sale,Šampēteris-Pleskodāle,Volguntes 27,1,31,5,5,Hrušč.,Brick,All amenities,33000,56.93731855,24.04146341
For rent,centrs,Dzirnavu 130,2,53,1,2,P. kara,Wood,Partial amenities,250,56.9443854,24.1264321
For rent,centrs,Alberta 9,2,56,1,6,Renov.,Masonry,All amenities,590,56.9590141,24.10916304
For sale,Krasta r-ns,Maskavas 224,2,50,9,9,467,Panel-Brick,All amenities,58000,56.8597884,24.3083417
For rent,centrs,Brīvības 59,1,40,6,6,P. kara,Masonry,All amenities,520,56.95798105,24.12339448
For sale,Bolderāja,Lielupes 1,2,59,2,2,Staļina,Brick,All amenities,38999,57.0386355,24.0464749
For rent,centrs,Lenču 2,2,45,1,6,P. kara,Masonry,All amenities,500,56.9616145,24.1100341
For rent,centrs,Valdemāra 75,2,82,6,6,P. kara,Masonry,All amenities,670,56.9625239,24.1239015
For sale,Dārzciems,Strautu 27,1,39,3,5,M. ģim.,Panel,All amenities,30500,56.9405505,24.18823626
For rent,centrs,Barona 63,2,60,2,5,Renov.,Masonry,All amenities,400,56.95713205,24.13275913
For rent,Āgenskalns,Kandavas 8,1,34,4,5,103,Brick-Panel,All amenities,260,56.9488968,24.05055065
For sale,Pļavnieki,Pavasara g. 1,4,79,4,9,602,Panel,All amenities,74500,56.9346184,24.1980807
For rent,Pļavnieki,J. Vācieša 2,1,67,1,16,Specpr.,Brick-Panel,All amenities,180,NaN,NaN
For rent,centrs,Lāčplēša 14,4,96,5,6,P. kara,Masonry,All amenities,650,56.9557312,24.1222604
For rent,Āgenskalns,Jūrmalas g. 7,3,55,5,5,LT proj.,Panel,All amenities,380,56.9521874,24.0276936
For sale,Dzegužkalns,Dzirciema 71,2,49,2,9,602,Panel,All amenities,50000,56.96512045,24.05498289
For rent,Pļavnieki,Saharova 15,1,49,10,12,104,Panel,All amenities,300,56.93679455,24.20183697
For rent,centrs,Elizabetes 10,2,52,2,5,P. kara,Masonry,All amenities,420,56.9578232,24.1106167
For rent,Ķengarags,Maskavas 261,1,19,5,5,Renov.,Brick,All amenities,260,56.8597884,24.3083417
For rent,Āgenskalns,Mūkusalas 29,2,61,4,4,Jaun.,Masonry,All amenities,750,56.93693955,24.10193236
For rent,centrs,Ausekļa 11,4,145,5,6,P. kara,Masonry,All amenities,1200,56.9617633,24.09989064
For sale,Purvciems,Madonas 2,2,48,4,5,Jaun.,Panel,All amenities,87000,56.95944105,24.16663604
For sale,Iļģuciems,Palangas 7,2,49,2,5,LT proj.,Panel,All amenities,45000,56.970867,24.05387588
For sale,Ķengarags,Maskavas 291,3,62,3,5,LT proj.,Panel,All amenities,53900,56.9168339,24.17698295
For sale,Teika,Brīvības gatve 228,2,56,3,4,Staļina,Masonry,All amenities,75000,56.9725209,24.1654296
For rent,Vecrīga,Kalēju 74,2,72,4,7,Jaun.,Panel,All amenities,650,56.945456,24.1115799
For rent,Jugla,Ciemupes 2,3,130,9,9,Jaun.,Brick-Panel,All amenities,690,56.9872927,24.24726378
For sale,Vecmīlgrāvis,Kāvu 10,2,50,1,5,LT proj.,Panel,All amenities,38500,57.03387165,24.10162238
For rent,Maskavas priekšpilsēta,Maskavas 146,1,20,1,5,Renov.,Brick,All amenities,260,56.8597884,24.3083417
For sale,centrs,Ģertrūdes 99,2,46,2,6,Renov.,Masonry,All amenities,99029,56.94999685,24.1364139
For sale,Vecrīga,13. janvāra 33,3,82,2,4,P. kara,Brick,All amenities,124000,56.94451965,24.10978482
For sale,centrs,Miera 105,2,46.5,6,6,Renov.,Masonry,All amenities,81400,56.9665763,24.1337504
For sale,Purvciems,Ilūkstes 103/3,2,49,7,9,467,Panel,All amenities,60500,56.9346287,24.195207
For rent,centrs,Stabu 46,1,14,5,6,P. kara,Masonry,All amenities,150,56.9543322,24.13130437
For sale,centrs,Elku 4,3,108,6,6,Renov.,Brick,All amenities,169000,56.96741145,24.14447468
For sale,Imanta,Kleistu 11-1,3,74,6,12,Jaun.,Panel,All amenities,115000,56.9675737,24.0276706
For sale,centrs,Valdemāra 106,3,76,1,5,Staļina,Masonry,All amenities,129000,56.9717941,24.134779
For rent,Teika,Ūnijas 36,1,20,1,5,103,Brick-Panel,All amenities,160,56.96655575,24.17412455
Renting,centrs,,2,,,,Jaun.,,,,46.3144754,11.0480288
For sale,Imanta,Dammes 25,2,50,8,9,602,Panel,All amenities,54000,56.96414355,24.00807298
For sale,centrs,Baznīcas 35,4,171,4,6,P. kara,Masonry,All amenities,385000,56.9584801,24.1222427
For sale,Čiekurkalns,Rusova 9,3,68,2,7,Jaun.,Panel,All amenities,118000,56.98909155,24.17033443
Buying,Sarkandaugava,,,,,,,,,,46.3144754,11.0480288
Buying,Dārzciems,,2,,,,,,,,46.3144754,11.0480288
For sale,centrs,Matīsa 82,1,22,2,2,P. kara,Wood,All amenities,7900,56.95092055,24.14612482
For rent,Āgenskalns,Mūkusalas 25,1,35.6,4,6,Jaun.,Masonry,All amenities,550,56.9374039,24.10117626
For sale,Teika,Burtnieku 33,1,19,3,5,M. ģim.,Brick,All amenities,19900,56.9685701,24.1819824
For rent,Mangaļi,Ezera 18,1,35,2,3,Specpr.,Brick,All amenities,230,57.02365495,24.1330612
For sale,Sarkandaugava,Hāpsalas 1k3,3,76,5,5,Specpr.,Brick,All amenities,62000,57.0002634,24.121861
For sale,Šampēteris-Pleskodāle,Volguntes 17a,1,25,2,2,P. kara,Wood,All amenities,12000,56.938759,24.0439698
For sale,Imanta,Anniņmuižas bulvāris 38,2,67,5,18,Jaun.,Panel,All amenities,89900,56.96112105,24.0182168
For sale,Iļģuciems,Stūres 2,1,18,5,5,M. ģim.,Brick,All amenities,11800,56.9692203,24.06949373
For rent,centrs,Ģertrūdes 107,1,15,4,5,P. kara,Masonry,All amenities,130,56.94970365,24.13818366
For sale,Purvciems,Vaidavas 2,2,43,1,5,Hrušč.,Masonry,All amenities,43999,56.96511765,24.1760482
For sale,Ķengarags,Lokomotīves 48,2,38.2,2,5,LT proj.,Panel,All amenities,36900,56.90837855,24.20066605
For rent,Čiekurkalns,Čiekurkalna 1. l. 65,3,40,2,2,P. kara,Wood,Partial amenities,120,NaN,NaN
For sale,Pļavnieki,J. Vācieša 6,4,78,9,9,467,Panel,All amenities,73000,NaN,NaN
For sale,Āgenskalns,Mārtiņa 8,3,77,4,7,Renov.,Masonry,All amenities,115000,56.947906,24.07095027
For sale,Sarkandaugava,Patversmes 5,1,33,1,3,P. kara,Masonry,All amenities,32900,56.9940614,24.1281801
For sale,Pļavnieki,Pavasara g. 5,2,50,2,9,602,Panel,All amenities,54000,56.9346184,24.1980807
For sale,centrs,Brīvības iela 161,2,40,4,5,Renov.,Masonry,All amenities,98000,56.9667358,24.14563511
For rent,centrs,Bruņinieku 115a,1,20,4,5,P. kara,Masonry,Partial amenities,155,56.9501202,24.1443988
For sale,Purvciems,Ilūkstes 56,3,66,2,5,LT proj.,Panel,All amenities,81900,56.9509491,24.19895959
For rent,centrs,Klusā 20,1,28,3,9,Jaun.,Masonry,All amenities,30,56.97650505,24.14649584
For sale,Zolitūde,Ruses 26,2,61,1,9,119,Panel,All amenities,70000,56.9454805,24.0097101
For sale,Ziepniekkalns,Īslīces 3,3,75,7,9,119,Panel,All amenities,75000,56.9004074,24.08374229
For rent,Torņakalns,Ludviķa 3,1,37,1,1,Staļina,Wood,Partial amenities,170,56.92553455,24.09567316
For sale,Zolitūde,Rostokas 38,3,78,2,7,119,Panel,All amenities,86000,54.14361,12.05044145
For sale,Imanta,Kurzemes pr. 68,3,62,4,5,LT proj.,Panel,All amenities,47000,56.9567829,24.0344957
For sale,centrs,Marijas 16,4,100,6,7,P. kara,Masonry,All amenities,165000,56.9505796,24.1255938
For sale,Purvciems,Dudajeva g. 13,1,28,5,5,LT proj.,Panel,All amenities,27800,56.9570069,24.1987368
For sale,Purvciems,Viršu 3,3,79,9,9,119,Panel,All amenities,80000,56.9521257,24.1761138
For sale,Mežciems,Hipokrāta 47,3,64,5,9,602,Panel,All amenities,67000,56.96138255,24.23561975
For sale,Mežciems,Kaivas 50,2,55,3,5,Specpr.,Panel,All amenities,77900,56.95546705,24.24181865
For sale,Ķengarags,Lokomotīves 88,2,50,5,5,LT proj.,Panel,All amenities,52000,56.9019341,24.21384273
For sale,Dārzciems,Zeltiņu 11,1,35,4,5,103,Brick,All amenities,42900,56.9482182,24.1684586
For sale,Torņakalns,Jelgavas 63 k-3,2,36.6,1,6,Jaun.,Panel-Brick,All amenities,60000,56.9280239,24.09322537
For rent,Maskavas priekšpilsēta,Kalna 11,2,32,3,3,P. kara,Masonry,All amenities,250,56.9422441,24.1433298
For rent,centrs,Marijas 16,2,50,3,6,P. kara,Brick,All amenities,600,56.9505796,24.1255938
For sale,Jugla,Juglas 10,3,111.4,2,9,Jaun.,Panel-Brick,All amenities,164500,56.9865865,24.24725629
For sale,centrs,Brīvības bulvāris 241,3,68,3,5,Specpr.,Brick-Panel,All amenities,60000,56.9526754,24.1155509
For rent,Iļģuciems,Kreslera 1,1,32,1,2,M. ģim.,Brick,All amenities,200,56.96337905,24.06512863
For sale,Ķengarags,Lokomotīves 48,2,38,2,5,LT proj.,Panel,All amenities,36900,56.90837855,24.20066605
For sale,Imanta,Kurzemes pr. 94,2,53,6,9,602,Panel,All amenities,54300,NaN,NaN
For rent,centrs,Barona 76,3,71,6,6,Renov.,Masonry,All amenities,725,56.95643795,24.13257298
For sale,centrs,Katrīnas d. 16a,2,41.9,3,5,Hrušč.,Brick,All amenities,62500,56.9716816,24.1021951
Buying,Mežaparks,,,,,,,,,,46.3144754,11.0480288
For sale,Purvciems,Staiceles 15,2,50,6,9,602,Panel,All amenities,54000,56.95828335,24.17291053
For sale,Purvciems,Stirnu 1,2,52,4,9,Jaun.,Masonry,All amenities,85000,56.9509837,24.18337314
For rent,centrs,Klusā 9,2,50,1,5,Specpr.,Brick,All amenities,26,56.97457845,24.14428161
For sale,Daugavgrīva,Plēksnes 6,1,32,5,5,M. ģim.,Brick-Panel,All amenities,24700,57.0402147,24.03145738
For rent,centrs,Baznīcas 7,1,10,6,6,P. kara,Masonry,All amenities,190,56.95594065,24.1177235
For rent,Dzegužkalns,Daugavgrīvas 56,3,57,1,9,467,Panel,All amenities,350,56.9556152,24.06916831
For rent,Iļģuciems,Daugavgrīvas 56,3,57,1,9,467,Panel,All amenities,350,56.9556152,24.06916831
For rent,Teika,Ropažu 22,2,42,4,5,Hrušč.,Brick,All amenities,320,56.9776761,24.1719745
For rent,centrs,Stabu 49a,2,46,3,5,P. kara,Masonry,All amenities,19,56.95468425,24.1322506
For rent,Ziepniekkalns,Valdeķu 54/5,1,32,5,9,602,Panel,All amenities,230,56.9000607,24.0925604
For sale,Āgenskalns,Kalnciema 42,5,91,2,4,P. kara,Brick,All amenities,132000,56.94206255,24.06427538
For rent,Iļģuciems,Iļģuciema 5,3,52,1,2,P. kara,Wood,Partial amenities,240,56.9624473,24.0527607
For sale,Pļavnieki,Ulbrokas 22,1,32,4,9,602,Panel,All amenities,35500,56.9440729,24.21773921
For rent,Iļģuciems,Skujenes 13,2,46,5,5,Hrušč.,Panel,All amenities,300,56.96306045,24.04793638
For sale,Teika,Caunes 17,2,47,3,5,Hrušč.,Brick,All amenities,59500,56.98156,24.1908887
For rent,centrs,Brīvības iela 170,2,51,2,6,P. kara,Masonry,All amenities,340,56.965966,24.1445041
For rent,centrs,Brīvības 92/94,2,60,2,5,Hrušč.,Brick,All amenities,690,56.9604576,24.1316378
For sale,Teika,Raunas 19,3,72,3,5,103,Brick-Panel,All amenities,76000,56.96893685,24.1736181
For sale,Dārzciems,Rumbulas 1,1,42,5,5,M. ģim.,Brick,All amenities,27000,56.94363395,24.17176442
For rent,Dzegužkalns,Kreslera 1/5,2,46,2,2,Hrušč.,Brick,All amenities,250,56.9644458,24.0640075
For sale,centrs,Tērbatas 41/43,3,87,4,5,P. kara,Brick,All amenities,142000,56.9557759,24.1253193
For rent,centrs,13. janvāra 21,1,58,6,7,Jaun.,Panel,All amenities,800,56.9443781,24.1105085
For sale,centrs,Blaumaņa 12,1,36.6,6,7,Renov.,Masonry,All amenities,102480,56.9548306,24.1221141
For rent,Purvciems,Deglava 7,1,46,5,6,Jaun.,Brick-Panel,All amenities,27,56.95377445,24.1541478
For sale,Zolitūde,Ruses 16,4,95,6,9,119,Panel,All amenities,91000,56.94627775,24.00386392
Change,Sarkandaugava,Ozolu 5,1,38,1,5,M. ģim.,Brick,All amenities,,56.9866895,24.13636643
For sale,Sarkandaugava,Hāpsalas 5,1,18,3,5,Specpr.,Brick-Panel,Partial amenities,11000,57.000974,24.12127055
For sale,Iļģuciems,Daugavgrīvas 132,2,51,3,5,Staļina,Brick,All amenities,66000,56.96895055,24.07125109
For sale,Āgenskalns,Rododendru 14,3,54,3,5,Specpr.,Brick,All amenities,59000,56.9482215,24.04980085
For sale,Vecmīlgrāvis,Baltāsbaznīcas 23,1,24,4,4,Hrušč.,Brick,All amenities,20700,57.0359712,24.092222
For rent,Purvciems,Marsa g. 6,2,50,1,5,LT proj.,Panel,All amenities,350,56.9518384,24.1999196
For rent,centrs,Elizabetes 9,2,57,2,5,P. kara,Masonry,All amenities,500,56.9592539,24.100972
For rent,Jugla,Juglas 12,2,60,12,12,104,Brick-Panel,All amenities,330,56.9847727,24.24912137
For rent,centrs,Pērnavas 14,2,42,4,5,Hrušč.,Brick,All amenities,340,56.9639569,24.14978065
For sale,centrs,Dzirnavu 18,3,60,2,4,P. kara,Masonry,All amenities,119000,56.9599049,24.11005571
